#index	label	wavelength	comment
0	zero                      0 		# null placeholder
1	Unit                1.00000A		# unit integration placeholder
2	UntD                1.00000A		# unit integration placeholder
####	general properties.............................
4	Inci                      0 		# total luminosity in incident continuum
5	TotH                      0 		# total heating, all forms, information since individuals added later 
6	TotC                      0 		# total cooling, all forms, information since individuals added later 
7	BFH1                      0 		# hydrogen photoionization heating, ground state only 
8	BFHx                      0 		# net hydrogen photoionization heating less rec cooling, all excited states normally zero, positive if excited states are net heating 
9	Line                      0 		# heating due to induced lines absorption of continuum 
10	BFHe                      0 		# total helium photoionization heating, all stages 
11	TotM                      0 		# total heavy element photoionization heating, all stages 
12	pair                      0 		# heating due to pair production 
13	Cbnd                      0 		# heating due to bound compton scattering 
14	ComH                      0 		# Compton heating 
15	ComC                      0 		# total Compton cooling 
16	advC                      0 		# cooling due to advection 
17	advH                      0 		# heating due to advection 
18	CT H                      0 		# heating due to charge transfer 
19	CT C                      0 		# cooling due to charge transfer 
20	CR H                      0 		# cosmic ray heating 
21	extH                      0 		# extra heat added to this zone, from HEXTRA command 
22	extC                      0 		# extra cooling added to this zone, from CEXTRA command 
23	e-e+                0.024270A		# 511keV annihilation line 
24	Expn                      0 		# expansion cooling, only non-zero for wind 
25	H FB                      0 		# H radiative recombination cooling 
26	HFBc                      0 		# net free-bound cooling 
27	HFBh                      0 		# net free-bound heating 
28	Hind                      0 		# cooling due to induced rec of hydrogen 
29	Cycn                      0 		# cyclotron cooling 
30	H  1c                     0 		# net cooling due to iso-seq species
31	H  1h                     0 		# heating due to iso-seq species
32	He 2c                     0 		# net cooling due to iso-seq species
33	He 2h                     0 		# heating due to iso-seq species
34	Li 3c                     0 		# net cooling due to iso-seq species
35	Li 3h                     0 		# heating due to iso-seq species
36	Be 4c                     0 		# net cooling due to iso-seq species
37	Be 4h                     0 		# heating due to iso-seq species
38	B  5c                     0 		# net cooling due to iso-seq species
39	B  5h                     0 		# heating due to iso-seq species
40	C  6c                     0 		# net cooling due to iso-seq species
41	C  6h                     0 		# heating due to iso-seq species
42	N  7c                     0 		# net cooling due to iso-seq species
43	N  7h                     0 		# heating due to iso-seq species
44	O  8c                     0 		# net cooling due to iso-seq species
45	O  8h                     0 		# heating due to iso-seq species
46	F  9c                     0 		# net cooling due to iso-seq species
47	F  9h                     0 		# heating due to iso-seq species
48	Ne10c                     0 		# net cooling due to iso-seq species
49	Ne10h                     0 		# heating due to iso-seq species
50	Na11c                     0 		# net cooling due to iso-seq species
51	Na11h                     0 		# heating due to iso-seq species
52	Mg12c                     0 		# net cooling due to iso-seq species
53	Mg12h                     0 		# heating due to iso-seq species
54	Al13c                     0 		# net cooling due to iso-seq species
55	Al13h                     0 		# heating due to iso-seq species
56	Si14c                     0 		# net cooling due to iso-seq species
57	Si14h                     0 		# heating due to iso-seq species
58	P 15c                     0 		# net cooling due to iso-seq species
59	P 15h                     0 		# heating due to iso-seq species
